Date,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Daily Return_Apple,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Daily Return_Microsoft,CORESTICKM159SFRBATL,Inflation Rate
2015-10-31,28.58,208728120.0,28.52,28.87,28.310000000000002,0.007891032453556601,49.305,44673815.0,49.21,49.629999999999995,48.82995,0.013332242293485286,2.335492,2.951507051243607
2015-11-30,29.58,152252520.0,29.5,29.85,29.44,0.004414261460101931,54.35,54403560.0,54.54,54.96,53.9999,0.00778787316892271,2.394625,2.5319290325122035
2015-12-31,26.32,163541920.0,26.75,26.76,26.21,-0.019008572493477427,55.48,27329930.0,56.04,56.19,55.42,-0.014739833066950925,2.437497,1.7903429555776063
2016-01-31,25.245,152033880.0,25.485,25.66,25.185000000000002,-0.010742420790692486,53.18,29481045.0,53.695,53.92,53.04,-0.01146348378493739,2.460879,0.9592627190925684
2016-02-29,24.17,140525840.0,24.22,24.56,24.16,-0.0024762690879075455,50.88,31632160.0,51.35,51.65,50.66,-0.008187134502923854,2.538253,3.144161090407138
2016-03-31,27.25,103055360.0,27.43,27.48,27.22,-0.005111354508944843,55.23,26353570.0,54.95,55.59,54.86,0.003269754768392419,2.526214,-0.47430260104095456
2016-04-30,26.11,136063760.0,26.165,26.29,25.965,-0.004947068246899722,54.114999999999995,31907560.0,53.605000000000004,54.295,53.47,0.008133348332208468,2.53143,0.2064749858879722
2016-05-31,24.97,169072160.0,24.9,25.1,24.71,-0.0047827819848546005,53.0,37461550.0,52.26,53.0,52.08,0.012996941896024516,2.565678,1.3529112003887178
2016-06-30,23.9,143133280.0,23.61,23.94,23.58,0.012711864406779627,51.17,28524020.0,50.72,51.3,50.5,0.012465373961218829,2.563629,-0.07986193123220575
2016-07-31,25.215,134844660.0,25.015,25.29,24.994999999999997,0.006921969939238881,54.315,24684150.0,54.185,54.55,53.9,0.002518746749135936,2.569655,0.23505741275355874
2016-08-31,26.53,126556040.0,26.42,26.64,26.41,0.0011320754716981352,57.46,20844280.0,57.65,57.8,57.3,-0.007427880462946956,2.716347,5.708626255275506
2016-09-30,28.26,145362680.0,28.12,28.34,27.95,0.007486631016042855,57.6,29877820.0,57.57,57.77,57.34,0.0034843205574912606,2.624799,-3.3702616050158563
2016-10-31,28.39,105515640.0,28.41,28.56,28.3,-0.00140696447414701,59.92,26418340.0,60.16,60.42,59.92,0.0008351428094204305,2.502268,-4.66820507017871
2016-11-30,27.63,144605800.0,27.9,28.05,27.57,-0.008611410118406937,60.26,34641520.0,60.86,61.18,60.215,-0.013586511704043347,2.518564,0.6512491867378012
2016-12-31,28.985,167838420.0,29.095,29.200000000000003,28.865000000000002,-0.005456642250916743,62.455,29950210.0,62.86,63.165000000000006,62.237500000000004,-0.010478193668695956,2.585286,2.649208040772444
2017-01-31,30.34,191071040.0,30.29,30.35,30.16,-0.00230187438342655,64.65,25258900.0,64.86,65.15,64.26,-0.007369875633348566,2.651739,2.5704312791698936
2017-02-28,34.25,93785360.0,34.27,34.36,34.18,0.0005842827928719263,63.98,23225630.0,64.08,64.2,63.76,-0.0038922621827807147,2.664566,0.4837203058068784
2017-03-31,35.92,78305920.0,35.93,36.07,35.75,-0.0016675931072817063,65.86,21037270.0,65.65,66.19,65.45,0.0022827575711459325,2.436586,-8.555989981107615
